system:index,Luces_2018,Luces_2020,Luces_2024,Luces_cambio_18_20,Luces_cambio_18_24,Luces_cambio_20_24,NDBI_2018,NDBI_2020,NDBI_2024,NDBI_cambio_18_20,NDBI_cambio_18_24,NDBI_cambio_20_24,NDVI_2018,NDVI_2020,NDVI_2024,NDVI_cambio_18_20,NDVI_cambio_18_24,NDVI_cambio_20_24,NDWI_2018,NDWI_2020,NDWI_2024,NDWI_cambio_18_20,NDWI_cambio_18_24,NDWI_cambio_20_24,Nombre_std,comuna_id,comuna_str,id_techo,n_familias,nombre_ofi,region,.geo
0000000000000000000c,75.08499908447266,70.66000366210938,77.79499816894531,-4.424995422363281,2.7099990844726562,7.1349945068359375,0.044022979154199074,0.0502172778475207,0.08800859065339105,0.006194298693321607,0.04398561149919197,0.037791312805870385,0.18335933301205437,0.20033304316013376,0.18870292886273304,0.01697371014807936,0.0053435958506786625,-0.011630114297400702,-0.22829459080704972,-0.2575013797472301,-0.24547492830680245,-0.02920678894018036,-0.01718033749975271,0.012026451440427646,LAS TORRES,13102,Cerrillos,6241,8,Las Torres,13,"{""type"":""Polygon"",""coordinates"":[[[-70.73271340803082,-33.499433662317145],[-70.73222736822653,-33.49950051704605],[-70.73218725812303,-33.49930878069813],[-70.73264208108594,-33.49924192222721],[-70.73271340803082,-33.499433662317145]]]}"
00000000000000000012,49.34000015258789,49.63999938964844,76.83999633789062,0.2999992370605469,27.499996185302734,27.199996948242188,0.07477365045593118,0.06485851229054099,0.07444747550329364,-0.009915138165390226,-3.2617495263753904E-4,0.009588963212752688,0.13613929680608258,0.1336500187400168,0.159354325154141,-0.0024892780660658587,0.023215028348058407,0.025704306414124266,-0.2512854422949253,-0.24401229565068186,-0.24259512763124044,0.00727314664424354,0.008690314663685026,0.0014171680194414956,FEROCARRIL NORTE,13102,Cerrillos,6551,18,Ferocarril Norte,13,"{""type"":""Polygon"",""coordinates"":[[[-70.71761935002735,-33.48789793342772],[-70.71687910444955,-33.487608110508255],[-70.71658934023283,-33.487501148098616],[-70.71545668985664,-33.486970497281995],[-70.71579110377967,-33.48680547512026],[-70.71676766367575,-33.48728260659006],[-70.71698174246788,-33.48700169227151],[-70.71761935002735,-33.48789793342772]]]}"
0000000000000000001c,55.34000015258789,61.019996643066406,65.17500305175781,5.679996490478516,9.835002899169922,4.155006408691406,0.05721483796294971,0.07106496876390316,0.08166897776522052,0.01385013080095346,0.024454139802270798,0.01060400900131734,0.16818357178542823,0.15186144815753097,0.14958382765344508,-0.01632212362789726,-0.018599744131983183,-0.0022776205040859272,-0.26960748500488535,-0.23918573426531586,-0.20786697485810884,0.030421750739569445,0.061740510146776555,0.03131875940720713,COLOMBIA,13102,Cerrillos,2005,22,Colombia,13,"{""type"":""Polygon"",""coordinates"":[[[-70.73045262897634,-33.487046304753115],[-70.72984625592109,-33.486814383383695],[-70.72960096590921,-33.48642200162131],[-70.72976149793669,-33.486413103412296],[-70.73033229819906,-33.486698465443],[-70.73045262897634,-33.487046304753115]]]}"
0000000000000000003e,53.9714355368426,55.89697673605303,71.47849578108935,1.925541199210382,17.507060244246706,15.581519045036323,0.045186152523601655,0.05751483111622927,0.12559520445355596,0.012328678592627589,0.08040905192995418,0.06808037333732665,0.12258034258937238,0.0962276426483756,0.046100656704920244,-0.02635269994099696,-0.0764796858844523,-0.050126985943455306,-0.2599365909209844,-0.2227026498613892,-0.11676728348547621,0.03723394105959494,0.14316930743550782,0.10593536637591293,EL ESFUERZO II,13102,Cerrillos,2003,500,El Esfuerzo II,13,"{""type"":""Polygon"",""coordinates"":[[[-70.73118840654028,-33.48263173380303],[-70.73115274295291,-33.48301974794833],[-70.73096544101438,-33.48304648027159],[-70.73092533080268,-33.48379115306771],[-70.72561895544456,-33.483559283005484],[-70.7247539435946,-33.4834790092776],[-70.72473161951609,-33.48334079717045],[-70.7247539435946,-33.4824533924573],[-70.7258820341623,-33.48205651451885],[-70.72668914676849,-33.48215017111049],[-70.72787086456269,-33.4829617336001],[-70.73006913123292,-33.482604990254366],[-70.73118840654028,-33.48263173380303]]]}"
00000000000000000070,52.68048190178594,52.81574027873951,75.5434608896395,0.1352583769536272,22.862978987853673,22.727720610900032,0.07211601411260656,0.0731350730282701,0.16905048012969473,0.0010190589156633036,0.09693446601708823,0.095915407101425,0.1336587537396364,0.10095512251871348,0.03302657356486673,-0.03270363122092307,-0.10063218017476998,-0.06792854895384652,-0.27852990424970764,-0.2276739871323509,-0.08772245220709836,0.0508559171173573,0.1908074520426095,0.13995153492525242,UN NUEVO AMANECER,13102,Cerrillos,2006,2020,Un Nuevo Amanecer,13,"{""type"":""Polygon"",""coordinates"":[[[-70.72394238098485,-33.48400513372096],[-70.72349644293193,-33.48412558850359],[-70.72332701540029,-33.48656025594239],[-70.72121783262342,-33.48768392886242],[-70.72019672412725,-33.488977083807924],[-70.71773079059952,-33.487853341541374],[-70.71703074734937,-33.486921377166425],[-70.71735626668271,-33.48665831921217],[-70.71886788222537,-33.486207949890655],[-70.71888131313956,-33.485726376931574],[-70.71861369302701,-33.48503524160337],[-70.718872328947,-33.48413448796405],[-70.719889084357,-33.48421471508586],[-70.71992474880086,-33.48387585105091],[-70.72394238098485,-33.48400513372096]]]}"
0000000000000000007d,25.079999923706055,31.295000076293945,61.775001525878906,6.215000152587891,36.69500160217285,30.48000144958496,-0.03824058524178257,0.03507416728325336,0.07799709804804762,0.07331475252503593,0.11623768328983017,0.04292293076479426,0.19066869508219916,0.14168622084237656,0.11470896345119637,-0.04898247423982269,-0.07595973163100288,-0.026977257391180186,-0.29586043821802477,-0.2416685173616768,-0.18806019693618098,0.054191920856347955,0.10780024128184383,0.05360832042549589,MACARENA VALDES,13103,Cerro Navia,2008,50,Macarena Valdes,13,"{""type"":""Polygon"",""coordinates"":[[[-70.75379158477512,-33.41364942965799],[-70.75373360022907,-33.41401961129957],[-70.7532965834483,-33.414090875780005],[-70.75324313597736,-33.41363165756969],[-70.75379158477512,-33.41364942965799]]]}"
00000000000000000078,53.88500213623047,54.17500305175781,67.51499938964844,0.29000091552734375,13.629997253417969,13.339996337890625,0.06994618606585452,0.0971182898436297,0.09391253076260675,0.027172103777775163,0.02396634469675221,-0.0032057590810229512,0.21186981142363667,0.18351261848294123,0.2000559174638369,-0.028357192940695337,-0.011813893959799614,0.016543298980895727,-0.2871079032326149,-0.2634509469880917,-0.2715984464826857,0.02365695624452333,0.015509456749929382,-0.008147499494593953,LOS ARMINIOS,13104,Conchalí,318,25,Los Arminios,13,"{""type"":""Polygon"",""coordinates"":[[[-70.67353220123832,-33.385846949571686],[-70.67307296511878,-33.38706427875417],[-70.6729168610413,-33.387010794282105],[-70.67304619145793,-33.386484668227865],[-70.6732334255362,-33.38582021489671],[-70.67353220123832,-33.385846949571686]]]}"
0000000000000000000b,73.84500122070312,72.46499633789062,101.47999572753906,-1.3800048828125,27.634994506835938,29.014999389648438,-0.0036740627623038356,0.005134709295575867,0.01256026293473456,0.008808772057879725,0.016234325697038417,0.007425553639158689,0.3056531847911526,0.27531394480696864,0.2670287127169135,-0.03033923998418419,-0.038624472074239184,-0.008285232090054998,-0.38017692915251183,-0.34656869834796067,-0.33475087398254977,0.03360823080455121,0.04542605516996217,0.011817824365410966,LOS TILOS,13106,Estación Central,4396,15,Los tilos,13,"{""type"":""Polygon"",""coordinates"":[[[-70.68069804286549,-33.44572828936645],[-70.68059993483541,-33.44787306612543],[-70.68048394770265,-33.447873048029436],[-70.68040371871487,-33.44701248994476],[-70.68015849382942,-33.446414944981555],[-70.68023427577451,-33.445692612782075],[-70.68069804286549,-33.44572828936645]]]}"
00000000000000000028,79.30500030517578,71.69000244140625,100.11499786376953,-7.614997863769531,20.80999755859375,28.42499542236328,0.09067545685733923,0.10998626755805274,0.08960073246528587,0.019310810700713558,-0.0010747243920533292,-0.020385535092766888,0.09875402447004032,0.08797003303907111,0.11191050718938073,-0.010783991430969236,0.01315648271934044,0.02394047415030968,-0.15750667793006048,-0.1538914800958203,-0.1720850377935158,0.003615197834240182,-0.014578359863455351,-0.018193557697695532,CONDOMINIO BUZETA,13106,Estación Central,323,12,Condominio Buzeta,13,"{""type"":""Polygon"",""coordinates"":[[[-70.68444809604348,-33.47563539818747],[-70.68419842618627,-33.47570678875295],[-70.68401110564064,-33.475345572150914],[-70.68430542756964,-33.47532326227025],[-70.68444809604348,-33.47563539818747]]]}"
00000000000000000071,41.619998931884766,39.81500244140625,49.38500213623047,-1.8049964904785156,7.765003204345703,9.569999694824219,0.08173290775514724,0.09843345263463431,0.0811867586001846,0.016700544879487057,-5.461491549626734E-4,-0.01724669403444973,0.08216538857142715,0.08812277884092747,0.10134259798703531,0.005957390269500316,0.019177209415608142,0.013219819146107821,-0.18946906577942416,-0.18783588774744658,-0.21776264744361862,0.0016331780319776737,-0.028293581664194406,-0.02992675969617208,LUIS INFANTE CERDA 8540,13106,Estación Central,1026,6,Luis Infante Cerda 8540,13,"{""type"":""Polygon"",""coordinates"":[[[-70.71125621297558,-33.477178320949875],[-70.71123842580127,-33.47760639140837],[-70.71089057750756,-33.47753499167977],[-70.71098423248688,-33.47720504541323],[-70.71125621297558,-33.477178320949875]]]}"
00000000000000000095,74.51499938964844,70.94999694824219,87.375,-3.56500244140625,12.860000610351562,16.425003051757812,0.09599141825973458,0.11775033338525775,0.10931608273559142,0.021758915125523182,0.013324664475856857,-0.00843425064966632,0.07574904103434925,0.058054842590428174,0.09340981954478744,-0.017694198443921068,0.017660778510438173,0.035354976954359255,-0.13123349867185893,-0.11438275974424128,-0.13994711699616516,0.016850738927617646,-0.00871361832430621,-0.025564357251923853,SIN NOMBRE (TOMA),13106,Estación Central,815,7,Sin nombre (toma),13,"{""type"":""Polygon"",""coordinates"":[[[-70.68857275749895,-33.45993493972719],[-70.688474651087,-33.46030500060969],[-70.68821608931805,-33.460291714696545],[-70.68830076400194,-33.45989924513317],[-70.68857275749895,-33.45993493972719]]]}"
00000000000000000009,24.45649576504517,26.170224274275977,33.48044877479597,1.7137285092308097,9.023953009750821,7.310224500520009,0.09830853792244824,0.08822361222590279,0.09244619606366745,-0.010084925696545446,-0.005862341858780805,0.004222583837764645,0.12694883240550914,0.13539202255209865,0.12650461702549382,0.008443190146589456,-4.442153800154287E-4,-0.008887405526604891,-0.17614077960500538,-0.18837650732941402,-0.17371365501312175,-0.012235727724408405,0.002427124591883629,0.01466285231629202,JORGE INOSTROZA,13107,Huechuraba,325,180,Jorge Inostroza,13,"{""type"":""Polygon"",""coordinates"":[[[-70.62778632760515,-33.365384169016025],[-70.62757674736599,-33.36546446111231],[-70.62683654446094,-33.36439867828904],[-70.6266492016967,-33.363547027466794],[-70.62676520173069,-33.3628915301715],[-70.62694800611034,-33.36304763299675],[-70.62675176823831,-33.363114434638895],[-70.6268097682466,-33.363310663505224],[-70.62713081042178,-33.36326163044457],[-70.62751429988025,-33.36389930217816],[-70.62715758661857,-33.36427832916985],[-70.6275098523119,-33.36489365895075],[-70.62778632760515,-33.365384169016025]]]}"
00000000000000000019,28.065327012050922,33.94148367562024,39.905555047951715,5.876156663569327,11.840228035900799,5.964071372331467,0.09740863334239312,0.030067628803990026,0.08256098835024941,-0.067341004538403,-0.014847644992143673,0.05249335954625935,0.1845526532140445,0.21413689266946417,0.10371870491731433,0.029584239455419714,-0.08083394829673025,-0.11041818775215,-0.33041929670059955,-0.34850226827725106,-0.16741421078920846,-0.01808297157665165,0.16300508591139085,0.18108805748804227,GRAN ESFUERZO,13107,Huechuraba,4402,74,Gran esfuerzo,13,"{""type"":""Polygon"",""coordinates"":[[[-70.62736716703712,-33.37398575012865],[-70.62666263519186,-33.37436477952227],[-70.62592687848834,-33.374837486885724],[-70.6252892399385,-33.3738252319764],[-70.62676075415554,-33.37312519355482],[-70.62736716703712,-33.37398575012865]]]}"
0000000000000000001e,28.119998931884766,23.599998474121094,30.239999771118164,-4.520000457763672,2.1200008392333984,6.64000129699707,0.13914422830208428,0.09595751491281185,0.08882690610324671,-0.04318671338927247,-0.05031732219883763,-0.007130608809565147,0.16992800153099488,0.18558751186099956,0.17066807962700348,0.015659510330004643,7.400780960085944E-4,-0.014919432233996058,-0.3296288824323143,-0.3546608644406599,-0.2947830962374941,-0.025031982008345458,0.034845786194820344,0.059877768203165795,LOS MANZANOS,13107,Huechuraba,4398,13,Los manzanos,13,"{""type"":""Polygon"",""coordinates"":[[[-70.64061067005292,-33.365152309436226],[-70.6401870730407,-33.36526372988939],[-70.64029853164318,-33.36604409288279],[-70.64006662874046,-33.366066373128064],[-70.63996415575922,-33.365459998223464],[-70.63984815885985,-33.36504077599586],[-70.64017817813485,-33.364759916406484],[-70.64061067005292,-33.365152309436226]]]}"
