comuna,nombre_campamento,anio_llegada,situacion_habitacional_anterior,tipo_vivienda,tiene_electricidad,fuente_agua,tiene_saneamiento,coord_x,coord_y,geometry,antiguedad_hogar
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.74457,-33.3834566666667,POINT (-70.74457 -33.3834566666667),
13125,1312504,2020.0,Propietario y pagando dividendo,2.0,No informado,No informado,No informado,-70.744661009394,-33.3834321135484,POINT (-70.744661009394 -33.3834321135484),4.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7446691195245,-33.3834738283273,POINT (-70.7446691195245 -33.3834738283273),
13125,1312504,2020.0,Allegado,2.0,No informado,No informado,No,-70.7443933333333,-33.383545,POINT (-70.7443933333333 -33.383545),4.0
13125,1312504,,No informado,2.0,No informado,No informado,No,-70.7444116666667,-33.3835533333333,POINT (-70.7444116666667 -33.3835533333333),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7447405688289,-33.3833743129338,POINT (-70.7447405688289 -33.3833743129338),
13125,1312504,2021.0,Allegado,2.0,No informado,Camión aljibe,No,-70.7450433333333,-33.3834516666667,POINT (-70.7450433333333 -33.3834516666667),3.0
13125,1312504,,No informado,2.0,No informado,No informado,No,-70.7448183333333,-33.3835683333333,POINT (-70.7448183333333 -33.3835683333333),
13125,1312504,,Allegado,4.0,No informado,Camión aljibe,Si,-70.7452040607186,-33.3834442271897,POINT (-70.7452040607186 -33.3834442271897),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7445543038695,-33.3836645232272,POINT (-70.7445543038695 -33.3836645232272),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7445796441826,-33.3838434211549,POINT (-70.7445796441826 -33.3838434211549),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7445110409487,-33.3837094336193,POINT (-70.7445110409487 -33.3837094336193),
13125,1312504,2022.0,Propietario y pagando dividendo,2.0,No informado,Camión aljibe,No,-70.7446816666667,-33.3836383333333,POINT (-70.7446816666667 -33.3836383333333),2.0
13125,1312504,,No informado,2.0,No informado,No informado,No,-70.7443833333333,-33.3839333333333,POINT (-70.7443833333333 -33.3839333333333),
13125,1312504,2022.0,Allegado,3.0,No informado,Camión aljibe,No,-70.7444654672334,-33.3837607813512,POINT (-70.7444654672334 -33.3837607813512),2.0
13125,1312504,2021.0,Propietario y sin deuda,2.0,No informado,Camión aljibe,No,-70.7443133333333,-33.3839833333333,POINT (-70.7443133333333 -33.3839833333333),3.0
13125,1312504,,No informado,2.0,No informado,No informado,No,-70.7442066666667,-33.38406,POINT (-70.7442066666667 -33.38406),
13125,1312504,,No informado,2.0,No informado,No informado,No,-70.7441666666667,-33.384125,POINT (-70.7441666666667 -33.384125),
13125,1312504,,No informado,2.0,No informado,No informado,No,-70.74412,-33.38421,POINT (-70.74412 -33.38421),
13125,1312504,2022.0,Allegado,3.0,No informado,Camión aljibe,No,-70.7445110409487,-33.3837094336193,POINT (-70.7445110409487 -33.3837094336193),2.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7443224452122,-33.3841905966539,POINT (-70.7443224452122 -33.3841905966539),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7444093935346,-33.3841343633776,POINT (-70.7444093935346 -33.3841343633776),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7445079,-33.3841379,POINT (-70.7445079 -33.3841379),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7445986215305,-33.3841425479063,POINT (-70.7445986215305 -33.3841425479063),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7446597298842,-33.3840849771744,POINT (-70.7446597298842 -33.3840849771744),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7446009873819,-33.3839498111321,POINT (-70.7446009873819 -33.3839498111321),
13125,1312504,2022.0,Allegado,2.0,No informado,Camión aljibe,No,-70.7442583333333,-33.3843016666667,POINT (-70.7442583333333 -33.3843016666667),2.0
13125,1312504,2021.0,Allegado,3.0,No informado,Camión aljibe,No,-70.7447242105434,-33.3840121010206,POINT (-70.7447242105434 -33.3840121010206),3.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7446810730403,-33.3838752125679,POINT (-70.7446810730403 -33.3838752125679),
13125,1312504,2022.0,Allegado,1.0,No informado,Camión aljibe,No,-70.744705,-33.3839533333333,POINT (-70.744705 -33.3839533333333),2.0
13125,1312504,,No informado,2.0,No informado,No informado,No,-70.7450633333333,-33.3836733333333,POINT (-70.7450633333333 -33.3836733333333),
